abseil-cpp 20260526.0-2
accountsservice 26.27.3-1
acl 2.4.0-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
age 1.3.1-1
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
alsa-utils 1.2.16-1
amd-ucode 20260810-2
aom 3.14.1-1
apparmor 4.1.7-1
appstream 1.1.6-1
aquamarine 0.14.0-2
arch-install-scripts 31-2
archinstall 4.4-1
archlinux-keyring 20260727-1
argon2 20190702-6
at-spi2-core 2.60.6-1
atkmm 2.28.5-2
attr 2.6.0-1
audit 4.2.1-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
b43-fwcutter 020-1
base 3-3
base-devel 1-2
bash 5.3.15-1
bc 1.08.2-1
bcachefs-tools 3:1.39.2-1
bind 9.20.27-1
binutils 2.47-4
bison 3.8.2-8
bluez-libs 5.87-2
bolt 0.9.11-3
boost-libs 1.92.0-1
botan 3.13.0-1
brightnessctl 0.5.1-3
brltty 6.9.1-3
broadcom-wl 6.30.223.271-720
brotli 1.2.0-1
btrfs-progs 7.1-1
bubblewrap 0.11.2-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.127-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.6-1
cairomm-1.16 1.18.1-1
ccid 1.8.2-1
chromium 151.0.7922.137-1
chrony 4.8-3
cifs-utils 7.5-1
clonezilla 5.17.3-1
composefs 1.0.8-1
coreutils 9.11-2
cpio 2.15-3
cpptrace 1.0.4-2
cryptsetup 2.8.7-1
curl 8.21.0-1
darkhttpd 1.17-1
dav1d 1.5.4-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-glib 0.114-1
dbus-units 37-3
dconf 0.49.0-1
ddrescue 1.30-2
debugedit 5.3-2
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.42-1
dhcpcd 10.5.0-1
diffutils 3.12-2
ding-libs 0.7.0-1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.93-1
dnssec-anchors 20250524-1
dosfstools 4.2-5
double-conversion 3.4.0-1
drbl 5.10.3-1
duktape 2.7.0-7
e2fsprogs 1.47.4-1
ecryptfs-utils 111-9
edk2-shell 202605-1
efibootmgr 18-4
efivar 39-2
elfutils 0.196-1
ell 0.83-1
espeak-ng 1.52.0-1
